account,queue,status,changed_datetime
64246,PAYING,PAY PROP,2024-12-24 00:12:26
66463,PAYING,PAY CURR,2024-12-24 00:32:10
92889,INSOLVENCY,INS3,2024-12-24 05:18:03
97280,SETTLED,SETTLED,2024-12-24 06:26:49
40198,LEGAL,LEG_NOT,2024-12-24 09:39:26
55047,TRACE,GONEAWAY,2024-12-24 18:10:32
44502,TRACE,GONEAWAY,2024-12-24 19:45:29
71048,SETTLED,SETTLED,2024-12-24 20:03:02
97918,COLLECTIONS,CANCEL2,2024-12-24 22:54:14
44286,LEGAL,LEG VERIF 2,2024-12-24 23:40:38
96772,OTHER,ARCHIVED,2024-12-24 23:50:45
