account,queue,status,month,day
50973,SETTLED,SETTLED,07,05
49171,INSOLVENCY,INS4,07,05
92889,OTHER,ARCHIVED,07,05
56961,PAYING,PAY PROP,07,05
54549,OTHER,ARCHIVED,07,05
35227,COLLECTIONS,PAY OVER,07,05
19413,COLLECTIONS,PAY OVER,07,05
74104,COLLECTIONS,TELSOLUTIONS1,07,05
85441,INSOLVENCY,INS4,07,05
67701,TRACE,GONEAWAY,07,05
54885,COLLECTIONS,CANCEL4,07,05
39966,SETTLED,SETTLED,07,05
57819,COLLECTIONS,CANCEL4,07,05
59344,COLLECTIONS,PRIME,07,05
89637,OTHER,ARCHIVED,07,05
37628,LEGAL,LEG VERIF 1,07,05
98298,TRACE,GONEAWAY,07,05
65428,SETTLED,SETTLED,07,05
59502,OTHER,ARCHIVED,07,05
79212,LEGAL,LEG_TIT,07,05
18486,COLLECTIONS,TELSOLUTIONS4,07,05
66158,COLLECTIONS,CASSIST2,07,05
85922,PAYING,PAY CURR,07,05
53016,SETTLED,SETTLED,07,05
26096,OTHER,ARCHIVED,07,05
77535,PAYING,PAY CURR,07,05
90213,SETTLED,SETTLED,07,05
82269,LEGAL,HOLD FO,07,05
62595,INSOLVENCY,INS4,07,05
39453,TRACE,GONEAWAY,07,05
51596,LEGAL,HOLD FO,07,05
16198,SETTLED,SETTLED,07,05
47933,TRACE,GONEAWAY,07,05
80893,OTHER,ARCHIVED,07,05
37988,COLLECTIONS,TELSOLUTIONS1,07,05
57663,SETTLED,SETTLED,07,05
83785,TRACE,GONEAWAY,07,05
78633,OTHER,ARCHIVED,07,05
39629,SETTLED,SETTLED,07,05
38921,TRACE,GONEAWAY,07,05
27800,PAYING,PAY PROP,07,05
55044,TRACE,GONEAWAY,07,05
32998,LEGAL,LEG VERIF 2,07,05
45153,OTHER,ARCHIVED,07,05
30943,SETTLED,SETTLED,07,05
67396,PAYING,PAY PROP,07,05
70437,COLLECTIONS,CASSIST2,07,05
21489,LEGAL,LEG_TIT,07,05
86693,OTHER,ARCHIVED,07,05
65156,SETTLED,SETTLED,07,05
33687,COLLECTIONS,TELSOLUTIONS1,07,05
29593,OTHER,ARCHIVED,07,05
54718,PAYING,PAY PROP,07,05
13664,COLLECTIONS,CANCEL4,07,05
66216,OTHER,ARCHIVED,07,05
58120,TRACE,GONEAWAY,07,05
27620,INSOLVENCY,INS2,07,05
58064,OTHER,ARCHIVED,07,05
93257,LEGAL,LEG VERIF 1,07,05
11449,SETTLED,SETTLED,07,05
89612,COLLECTIONS,CANCEL2,07,05
94638,OTHER,ARCHIVED,07,05
49823,COLLECTIONS,PAY OVER,07,05
84455,LEGAL,LEG VERIF 1,07,05
81634,OTHER,ARCHIVED,07,05
30531,PAYING,PAY PROP,07,05
43108,OTHER,ARCHIVED,07,05
17232,INSOLVENCY,INS1,07,05
42371,TRACE,GONEAWAY,07,05
91558,OTHER,ARCHIVED,07,05
46545,COLLECTIONS,PAY OVER,07,05
79521,LEGAL,HOLD FO,07,05
88654,OTHER,ARCHIVED,07,05
86543,PAYING,PAY PROP,07,05
17413,TRACE,GONEAWAY,07,05
97132,SETTLED,SETTLED,07,05
85466,LEGAL,LEG_NOT,07,05
48606,SETTLED,SETTLED,07,05
43403,TRACE,GONEAWAY,07,05
21707,OTHER,ARCHIVED,07,05
66138,COLLECTIONS,PRIME_D,07,05
27223,COLLECTIONS,CANCEL4,07,05
89082,LEGAL,LEG_TIT,07,05
67443,PAYING,PAY CURR,07,05
39116,PAYING,PAY PROP,07,05
46494,OTHER,ARCHIVED,07,05
84845,LEGAL,LEG_TIT,07,05
47984,COLLECTIONS,TELSOLUTIONS4,07,05
69313,LEGAL,LEG_TIT,07,05
49999,LEGAL,LEG VERIF 1,07,05
30817,LEGAL,LEG_NOT,07,05
61279,TRACE,GONEAWAY,07,05
61708,TRACE,GONEAWAY,07,05
48786,COLLECTIONS,CANCEL4,07,05
30746,COLLECTIONS,CANCEL2,07,05
98172,TRACE,GONEAWAY,07,05
33057,COLLECTIONS,PRIME_D,07,05
91658,LEGAL,LEG_TIT,07,05
46588,COLLECTIONS,CANCEL2,07,05
37798,COLLECTIONS,TELSOLUTIONS4,07,05
26168,COLLECTIONS,PRIME,07,05
69791,COLLECTIONS,PRIME,07,05
86646,LEGAL,HOLD FO,07,05
66463,SETTLED,SETTLED,07,05
59505,LEGAL,LEG_TIT,07,05
20507,LEGAL,LEG_TIT,07,05
37744,PAYING,PAY PROP,07,05
77262,OTHER,ARCHIVED,07,05
89946,OTHER,ARCHIVED,07,05
